vault_id,user_id,type_id,site_name,username,encrypted_password,notes,last_updated,created_at
1,82,2,Chase,ericrodriguez@example.org,b9bc1fbe337b687c29ba144c6106b9f993ce13acf9eabe38fe28c070797b864b,,2026-05-15 22:15:44,2026-05-15 22:13:31
2,52,2,GitHub,terry56@example.org,a73933b3b24b67dace6db6bbca2a69a34e0d41c042a47958b4666f7a70eb362b,Step executive machine various by risk.,2026-05-15 22:16:50,2026-05-15 22:15:02
3,74,1,Chase,bryanschneider@example.org,38ac68a040f27234f2d92e5142c968019d454e0c436f16c237ba5fa2cecf7cc5,Page person perhaps answer.,2026-05-15 22:17:34,2026-05-15 22:14:46
4,70,1,Amazon,meredith46@example.org,631497376d343f012f0c123d496d2afc016ed7aa426ab81d1721d00a357ea973,Coach democratic soon arm.,2026-05-15 22:15:13,2026-05-15 22:13:19
5,36,1,Amazon,clarkkayla@example.com,87f438dcfd80b3583e1e54a1716d40d39ac8f38cca645d7cee39776fbed1e960,,2026-05-15 22:16:38,2026-05-15 22:14:08
6,1,3,Facebook,daniellebecker@example.org,d4cf3f80235351a9d9fde3411fdf5ccf982df92543cb29ed767062e557ad6ab6,,2026-05-15 22:16:20,2026-05-15 22:13:35
7,28,1,Google,charlesdawson@example.org,c40b46daa8145f305eee0acd490835a5a73eaddd3300baa0c9319b46da3e4c57,,2026-05-15 22:15:32,2026-05-15 22:14:00
8,47,3,Bank of America,huntkristine@example.com,bd6962c75b73597a1888fae7c68174d00ce31d7c51382d54bf2c3187d12311e3,,2026-05-15 22:15:30,2026-05-15 22:12:55
9,74,1,GitHub,williamsmaria@example.org,b52ff21d1bd6f6aa31b15c0f76d3362e3b8fa3a0b9628c1e0964fa1a37739a53,Husband memory consider occur develop main.,2026-05-15 22:16:31,2026-05-15 22:14:25
10,10,2,Bank of America,tward@example.org,fed6f27266edbe82ad7a8dabbaea8c3f2704bd37a84b086d54ad2a2bf1398ddd,,2026-05-15 22:15:06,2026-05-15 22:14:28
11,25,2,Chase,davidmorris@example.com,ecb2856000685ad514087e9aad661f28581548cd9546a057790fa419822b60c1,Indicate between water cause voice.,2026-05-15 22:16:50,2026-05-15 22:12:13
